Obtained from https://www.physionet.org/cgi-bin/atm/ATM

Database:    PTB Diagnostic ECG Database (ptbdb)
Record:      patient001/s0010_re
Signals:     i
Annotations: 
Length:      10s
Time format: samples
Data format: raw ADC units
Toolbox: export signals as CSV

First 256 samples:

'sample #','i'
0,-489
1,-485
2,-483
3,-482
4,-463
5,-452
6,-450
7,-469
8,-469
9,-447
10,-441
11,-454
12,-464
13,-475
14,-489
15,-474
16,-448
17,-453
18,-453
19,-455
20,-465
21,-452
22,-451
23,-422
24,-427
25,-447
26,-440
27,-432
28,-400
29,-393
30,-393
31,-418
32,-477
33,-504
34,-477
35,-453
36,-469
37,-509
38,-495
39,-462
40,-460
41,-440
42,-429
43,-429
44,-455
45,-449
46,-427
47,-401
48,-413
49,-456
50,-438
51,-431
52,-431
53,-443
54,-463
55,-456
56,-438
57,-442
58,-454
59,-453
60,-458
61,-463
62,-471
63,-447
64,-427
65,-432
66,-422
67,-425
68,-437
69,-423
70,-407
71,-402
72,-409
73,-461
74,-466
75,-435
76,-444
77,-450
78,-427
79,-417
80,-429
81,-423
82,-417
83,-416
84,-421
85,-431
86,-423
87,-408
88,-386
89,-355
90,-401
91,-380
92,-324
93,-385
94,-399
95,-389
96,-376
97,-388
98,-425
99,-384
100,-334
101,-323
102,-336
103,-324
104,-314
105,-332
106,-302
107,-292
108,-305
109,-292
110,-282
111,-284
112,-290
113,-321
114,-312
115,-277
116,-272
117,-274
118,-308
119,-270
120,-235
121,-249
122,-250
123,-277
124,-240
125,-183
126,-177
127,-179
128,-186
129,-155
130,-156
131,-180
132,-194
133,-197
134,-188
135,-204
136,-184
137,-184
138,-163
139,-151
140,-158
141,-134
142,-144
143,-117
144,-105
145,-101
146,-97
147,-94
148,-76
149,-67
150,-28
151,-39
152,-57
153,-74
154,-51
155,-23
156,-33
157,-43
158,-110
159,-129
160,-80
161,-14
162,-68
163,-103
164,-60
165,-74
166,-73
167,-40
168,2
169,23
170,11
171,-33
172,-47
173,-26
174,6
175,-26
176,-44
177,-42
178,-65
179,-68
180,-79
181,-37
182,-22
183,-22
184,0
185,-5
186,-25
187,-35
188,-36
189,-40
190,-45
191,-55
192,-44
193,-62
194,-82
195,-92
196,-92
197,-83
198,-77
199,-53
200,-69
201,-74
202,-71
203,-79
204,-91
205,-98
206,-80
207,-53
208,-58
209,-57
210,-66
211,-127
212,-109
213,-109
214,-121
215,-95
216,-129
217,-161
218,-159
219,-151
220,-165
221,-152
222,-149
223,-155
224,-148
225,-159
226,-168
227,-166
228,-166
229,-189
230,-160
231,-158
232,-184
233,-190
234,-172
235,-150
236,-195
237,-197
238,-180
239,-201
240,-213
241,-219
242,-232
243,-221
244,-203
245,-198
246,-223
247,-217
248,-172
249,-167
250,-204
251,-264
252,-240
253,-211
254,-223
255,-241
